ISO3,Country,Top1,Top1_2050_pct,Top2,Top2_2050_pct,Top3,Top3_2050_pct,Top4,Top4_2050_pct,Top5,Top5_2050_pct
IRN,Iran,Shia Islam,87.5,Sunni Islam,7.8,Ibadi / Other Islam,1.9,Unaffiliated,1.7,Bahai,0.3
IRQ,Iraq,Shia Islam,57.6,Sunni Islam,33.5,Ibadi / Other Islam,1.9,Orthodox Christianity,1.6,Unaffiliated,1.5
ISL,Iceland,Unaffiliated,32.3,Protestant Christianity,29.8,Catholic Christianity,14.1,Other Christianity,8.1,Sunni Islam,7.7
ISR,Israel,Judaism,69.6,Sunni Islam,17.0,Unaffiliated,6.3,Other religions,2.9,Shia Islam,1.7
ITA,Italy,Catholic Christianity,47.5,Unaffiliated,18.3,Protestant Christianity,12.1,Sunni Islam,8.8,Other Christianity,4.6
JAM,Jamaica,Catholic Christianity,57.2,Protestant Christianity,14.3,Unaffiliated,14.1,Other Christianity,5.6,Other religions,3.1
JOR,Jordan,Sunni Islam,80.6,Shia Islam,8.2,Unaffiliated,3.0,Ibadi / Other Islam,2.7,Orthodox Christianity,1.6
JPN,Japan,Unaffiliated,59.9,Mahayana Buddhism,20.9,Folk / Traditional,9.0,Other religions,4.5,Vajrayana / Other Buddhism,2.5
KAZ,Kazakhstan,Sunni Islam,60.8,Unaffiliated,10.3,Shia Islam,6.1,Other religions,4.9,Catholic Christianity,4.9
KEN,Kenya,Protestant Christianity,32.7,Catholic Christianity,25.4,African Independent / Syncretic Christianity,14.7,Sunni Islam,11.3,Orthodox Christianity,4.9
KGZ,Kyrgyzstan,Sunni Islam,78.2,Shia Islam,7.9,Unaffiliated,4.2,Ibadi / Other Islam,2.6,Catholic Christianity,1.7
KHM,Cambodia,Unaffiliated,45.0,Theravada Buddhism,23.1,Folk / Traditional,16.2,Catholic Christianity,3.3,Other religions,2.7
KIR,Kiribati,Catholic Christianity,28.4,Protestant Christianity,22.9,Unaffiliated,22.5,Other Christianity,10.8,Orthodox Christianity,5.4
KNA,Saint Kitts & Nevis,Catholic Christianity,56.4,Protestant Christianity,14.1,Unaffiliated,13.6,Other Christianity,5.5,Other religions,3.0
