City,Country,ISO3,Country_Alpha2,Continent,Latitude,Longitude,GeoNames_Population,Is_Capital,City_Rank_In_Selected_Country,Matched_Subdivision,City_HDI_2025,City_HDI_2050,City_HDI_Change,National_HDI_2025,National_HDI_2050,Urban_Premium_2025,Urban_Premium_2050,Projection_Method,Confidence,Data_Status,GeoNames_ID
Zemun,Serbia,SRB,RS,Europe,44.8458,20.40116,155591,False,5,Central Serbia,0.834637,0.860848,0.026211,0.833,0.8598,0.001637,0.001048,national_fallback_plus_bounded_urban_premium,modeled,modeled_city_estimate_not_official_undp_city_hdi,783920
Paysandu,Uruguay,URY,UY,America,-32.3171,-58.08072,81550,False,5,"Litoral Norte (Paysandu, Salto and Rio Negro)",0.835575,0.860694,0.025119,0.862,0.8861,0.001183,0.000757,matched_subdivision_plus_bounded_urban_premium,higher,modeled_city_estimate_not_official_undp_city_hdi,3441243
Saint George's,Grenada,GRD,GD,,12.05288,-61.75226,7500,True,1,Saint George Parish,0.794233,0.859869,0.065636,0.791,0.8578,0.003233,0.002069,national_fallback_plus_bounded_urban_premium,modeled,modeled_city_estimate_not_official_undp_city_hdi,3579925
New Amsterdam,Guyana,GUY,GY,America,6.24924,-57.51578,35039,False,3,East Berbice-Corentyne,0.790255,0.85758,0.067326,0.776,0.8498,0.002271,0.001453,matched_subdivision_plus_bounded_urban_premium,higher,modeled_city_estimate_not_official_undp_city_hdi,3376762
Rio de Janeiro,Brazil,BRA,BR,America,-22.90642,-43.18223,6747815,False,3,Rio de Janeiro,0.820824,0.856712,0.035888,0.786,0.8312,0.005533,0.003541,matched_subdivision_plus_bounded_urban_premium,higher,modeled_city_estimate_not_official_undp_city_hdi,3451190
Arequipa,Peru,PER,PE,America,-16.39899,-71.53747,1195700,False,3,"South (Tacna, Moquegua, Arequipa, Ica, Ayacucho)",0.828224,0.856042,0.027819,0.794,0.8335,0.00409,0.002617,matched_subdivision_plus_bounded_urban_premium,higher,modeled_city_estimate_not_official_undp_city_hdi,3947322
Tehran,Iran,IRN,IR,Asia/Pacific,35.69439,51.42151,7153309,True,1,Tehran and Alborz,0.847417,0.855905,0.008488,0.799,0.8181,0.006186,0.003959,matched_subdivision_plus_bounded_urban_premium,higher,modeled_city_estimate_not_official_undp_city_hdi,112931
Lagos,Nigeria,NGA,NG,Africa,6.45407,3.39467,15388000,False,2,Lagos,0.735284,0.855117,0.119833,0.56,0.7225,0.01554,0.009946,matched_subdivision_plus_bounded_urban_premium,higher,modeled_city_estimate_not_official_undp_city_hdi,2332459
Ngerulmud,Palau,PLW,PW,,7.50077,134.6238,0,True,1,Melekeok,0.789349,0.854643,0.065294,0.786,0.8525,0.003349,0.002143,national_fallback_plus_bounded_urban_premium,lower,modeled_city_estimate_not_official_undp_city_hdi,8063361
Sao Paulo,Brazil,BRA,BR,America,-23.5475,-46.63611,12400232,False,2,Sao Paulo,0.818339,0.854514,0.036175,0.786,0.8312,0.006048,0.003871,matched_subdivision_plus_bounded_urban_premium,higher,modeled_city_estimate_not_official_undp_city_hdi,3448439
