Destination_ISO3,Destination,Destination_Group,Origin_Candidates,Share_2024_pct,Share_2050_pct,Change_pp,Pop_2024,Pop_2050,Share_2050_LowMigrationScenario_pct,Share_2050_HighMigrationScenario_pct,Share_2050_Migration_P10_pct,Share_2050_Migration_P90_pct,Migration_Uncertainty_Width_pp,Migration_SourceSupply_2050,Migration_BroadLaborMobility_2050,Migration_SkillReadiness_2050,Migration_ClimatePressure_2050,Migration_DestinationPull_2050,Migration_DiasporaNetwork_2050,Migration_CorridorAffinity_2050,Migration_SettlementRetention_2050,Migration_CorridorMultiplier_2050,Migration_Intensity_2050,Birth_Replacement_Pressure_2050,Europe_Migration_Response_2050,BroadLabor_Migration_SourcePressure_2050,BroadLabor_Migration_ProgramIntensity_2050,SSA_LateMigration_DestinationResponse_2050,SSA_SourcePoolTransition_2050,SSA_SourcePoolCapacity_2050,SSA_SourcePoolTransition_Attributed_Change_pp,Migration_Channel_Active,Corridor_Expansion_Index_2050,Projected_Group_Population_Change_pct,Expected_Presence_2050,Interpretation
FRA,France,Chinese,CHN,0.4,0.37,-0.03,266194,251970,0.37,0.37,0.37,0.37,0.01,0.52,0.502,0.58,0.45,0.616,0.86,1.0,0.8,0.823,1.623,0.136,0.084,0.0,0.595,0.595,1.0,0.761,-0.0,True,1.083,-5.3,established/gradual,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
SAU,Saudi Arabia,Sudanese,NGA;ETH;GHA;KEN;UGA;TZA;RWA;COD;CIV;CMR;SEN;ZMB;ZWE;MOZ;MWI;AGO;SDN;SOM;ERI;BFA;NER;MLI;GIN;SLE;LBR;BEN;TGO;GMB,1.5,1.63,0.13,509441,777177,1.57,1.7,1.57,1.7,0.13,0.711,0.785,0.574,0.717,0.599,0.93,1.006,0.44,0.865,1.5,0.0,0.0,0.0,0.644,0.361,1.0,0.761,0.06,True,1.049,52.6,established/gradual,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
SAU,Saudi Arabia,Syrian,SYR,1.2,1.23,0.03,407553,586970,1.21,1.26,1.21,1.26,0.06,0.672,0.726,0.6,0.74,0.599,0.915,1.0,0.44,0.842,1.5,0.0,0.0,0.0,0.644,0.361,1.0,0.761,-0.0,True,1.036,44.0,established/gradual,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
BRA,Brazil,Asian (Japanese/Chinese descent),CHN,1.1,1.18,0.08,2331984,2568704,1.14,1.23,1.14,1.23,0.09,0.52,0.502,0.58,0.45,0.527,0.909,1.0,0.78,0.794,1.585,0.0,0.0,0.563,0.0,0.0,1.0,0.761,0.0,True,1.021,10.2,established/gradual,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
KHM,Cambodia,Vietnamese,VNM,4.7,5.15,0.45,829024,1129099,4.99,5.34,4.99,5.34,0.34,0.71,0.674,0.84,0.68,0.454,1.029,1.0,0.78,0.875,1.25,0.0,0.0,0.0,0.0,0.0,1.0,0.761,0.0,True,1.015,36.2,established/gradual,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
MMR,Myanmar,Indian,IND;PAK;BGD;LKA;NPL,2.0,2.2,0.2,1090002,1288097,2.13,2.28,2.13,2.28,0.15,0.718,0.719,0.752,0.684,0.454,0.952,1.0,0.78,0.854,1.25,0.0,0.0,0.0,0.0,0.0,1.0,0.761,0.0,True,0.948,18.2,established/gradual,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
MDG,Madagascar,Other (French/Chinese/Indian),IND;PAK;BGD;LKA;NPL,1.0,1.08,0.08,319650,573529,1.05,1.12,1.05,1.12,0.07,0.718,0.719,0.752,0.684,0.454,0.903,1.0,0.78,0.838,1.25,0.0,0.0,0.0,0.0,0.0,1.0,0.761,0.0,True,0.931,79.4,established/gradual,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
PAN,Panama,Venezuelan migrant,VEN,0.8,0.86,0.06,36125,48306,0.83,0.89,0.83,0.89,0.05,0.636,0.596,0.78,0.64,0.454,0.891,1.0,0.78,0.802,1.25,0.0,0.0,0.0,0.0,0.0,1.0,0.761,0.0,True,0.903,33.7,established/gradual,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
VEN,Venezuela,Colombian migrant,COL,0.8,0.99,0.19,227244,306525,0.95,1.02,0.95,1.02,0.07,0.632,0.586,0.78,0.6,0.454,0.891,1.0,0.78,0.8,1.25,0.0,0.0,0.596,0.0,0.0,1.0,0.761,0.0,True,0.901,34.9,established/gradual,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
DJI,Djibouti,Other (French/Ethiopian),ETH,3.0,2.76,-0.24,35062,42308,2.69,2.86,2.69,2.86,0.17,0.71,0.81,0.52,0.76,0.454,0.986,1.0,0.78,0.861,1.25,0.0,0.0,0.0,0.0,0.0,1.0,0.761,0.0,True,0.844,20.7,established/gradual,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
LBN,Lebanon,Syrian refugee,SYR,0.6,0.76,0.16,34836,53389,0.74,0.79,0.74,0.79,0.06,0.672,0.726,0.6,0.74,0.454,0.876,1.0,0.78,0.812,1.25,0.0,0.0,0.0,0.0,0.0,1.0,0.761,0.0,True,0.832,53.3,established/gradual,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
EGY,Egypt,Syrian migrant,SYR,0.5,0.61,0.11,582691,991779,0.59,0.64,0.59,0.64,0.04,0.672,0.726,0.6,0.74,0.454,0.869,1.0,0.78,0.809,1.25,0.0,0.0,0.706,0.0,0.0,1.0,0.761,0.0,True,0.829,70.2,established/gradual,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
YEM,Yemen,Ethiopian/Eritrean migrant,ETH,1.5,1.39,-0.11,608748,985674,1.35,1.44,1.35,1.44,0.08,0.71,0.81,0.52,0.76,0.454,0.93,1.0,0.78,0.843,1.25,0.0,0.0,0.0,0.0,0.0,1.0,0.761,0.0,True,0.826,61.9,established/gradual,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
SOM,Somalia,Ethiopian migrant,ETH,1.0,0.96,-0.04,190092,356883,0.93,0.99,0.93,0.99,0.06,0.71,0.81,0.52,0.76,0.454,0.903,1.0,0.78,0.835,1.25,0.0,0.0,0.822,0.0,0.0,1.0,0.761,0.0,True,0.818,87.7,established/gradual,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
NRU,Nauru,Chinese / Asian,CHN,4.0,4.1,0.1,479,646,3.99,4.23,3.99,4.23,0.24,0.52,0.502,0.58,0.45,0.454,1.013,1.0,0.78,0.784,1.25,0.0,0.0,0.0,0.0,0.0,1.0,0.761,0.0,True,0.795,34.9,established/gradual,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
MMR,Myanmar,Chinese,CHN,3.0,3.06,0.06,1635003,1793637,2.98,3.15,2.98,3.15,0.17,0.52,0.502,0.58,0.45,0.454,0.986,1.0,0.78,0.778,1.25,0.0,0.0,0.0,0.0,0.0,1.0,0.761,0.0,True,0.789,9.7,established/gradual,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
DOM,Dominican Rep.,Haitian migrant,HTI,0.8,0.91,0.11,91420,118312,0.88,0.94,0.88,0.94,0.06,0.658,0.768,0.48,0.86,0.454,0.891,1.0,0.78,0.81,1.25,0.0,0.0,0.0,0.0,0.0,1.0,0.761,0.0,True,0.776,29.4,established/gradual,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
TLS,Timor-Leste,Chinese,CHN,1.0,1.03,0.03,14006,19430,1.0,1.06,1.0,1.06,0.06,0.52,0.502,0.58,0.45,0.454,0.903,1.0,0.78,0.759,1.25,0.0,0.0,0.0,0.0,0.0,1.0,0.761,0.0,True,0.769,38.7,established/gradual,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
KHM,Cambodia,Chinese (Khmer-Chen),CHN,0.5,0.5,0.0,88194,110747,0.49,0.52,0.49,0.52,0.03,0.52,0.502,0.58,0.45,0.454,0.869,1.0,0.78,0.751,1.25,0.0,0.0,0.0,0.0,0.0,1.0,0.761,0.0,True,0.761,25.6,established/gradual,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
BOL,Bolivia,Asian (Japanese/Chinese),CHN,0.3,0.3,-0.0,37240,47722,0.29,0.31,0.29,0.31,0.02,0.52,0.502,0.58,0.45,0.454,0.851,1.0,0.78,0.747,1.25,0.0,0.0,0.0,0.0,0.0,1.0,0.761,0.0,True,0.757,28.1,established/gradual,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
PNG,Papua New Guinea,Chinese,CHN,0.2,0.21,0.01,21153,30639,0.2,0.21,0.2,0.21,0.01,0.52,0.502,0.58,0.45,0.454,0.842,1.0,0.78,0.745,1.25,0.0,0.0,0.0,0.0,0.0,1.0,0.761,0.0,True,0.755,44.8,established/gradual,"Directional corridor scenario based on source labor supply, skills, destination demand, policy, diaspora networks, climate pressure and settlement retention; not an official bilateral flow forecast."
